,cpf_paciente,paciente,inicio,termino
0,78926354107,Beatriz Costa Alves,08:00,09:00
1,90271483029,Beatriz Costa Alves,09:30,10:45
2,41530968722,Maria Fernandes Costa,10:15,11:30
3,92047365821,João Pereira Rodrigues,11:45,13:15
4,20159476283,Beatriz Costa Alves,13:00,14:45
5,40921835672,Maria Fernandes Costa,14:30,15:30
6,63789215640,Mariana Gomes Pereira,15:15,17:00
7,56389274105,Maria Fernandes Costa,16:45,17:45
8,41530968722,Maria Fernandes Costa,17:30,19:00
9,32516790847,Clara Rodrigues Ramos,18:45,20:15
10,48095627361,Beatriz Costa Alves,20:00,21:30
11,32516790847,Sofia Garcia da Silva,21:15,22:45
12,56389274105,João Pereira Rodrigues,22:30,00:00
13,63789215640,Isabela Santos Silva,23:45,01:15
14,70586931254,Ana Lima Santos,00:30,02:30
